"idPeliculas ","Titulo","lanzamiento","Resumen"
"1","Proyecto X","2012","Proyecto X sigue a 3 desconocidos de escuela secundaria que finalmente serán famosos.'"
"2","Elementos","2023","Una joven de fuego y un chico de agua descubren su conexión en una ciudad de elementos.'"
"3","Intensamente ","2015","Las emociones de Riley, una niña que se muda de ciudad, luchan por guiarla.'"
"4","La bella y la bestia","1991"," Bella se enamora de una Bestia, un príncipe bajo una maldición.'"
"5","Winnie the poth","2011","Reúnete con el oso más querido y sus amigos traviesos pero inquebrantables.'"
"6","El club de la pelea","1999","Un empleado insomne y un vendedor de jabón forman un club de lucha clandestino que se convierte en algo mucho más"
"7","El origen","2010","Un ladrón especializado en el robo de secretos corporativos mediante el uso de la infiltración en el subconsciente de sus objetivos se embarca en la misión más peligrosa de su vida: plantar una idea en la mente de un CEO"
"8","El gran lebowski","1998","El Nota Lebowski, confundido con un millonario del mismo nombre, busca retribución por su alfombra manchada y se ve envuelto en un complot aún más grande"
"9","El padrino","1972","La saga de la familia Corleone, una de las mafias más poderosas de Nueva York, y su lucha por mantener el control del crimen organizado"
"10","El viaje chihiro","2001"," Una niña se adentra en un mundo mágico donde los dioses, espíritus y monstruos la desafían a través de una serie de pruebas, mientras intenta salvar a sus padres y regresar al mundo humano"
