idSerie;Titulo;lanzamiento;resumen
1;The Witcher;2019;"""The Witcher"" sigue a Geralt de Rivia, un cazador de monstruos, mientras su destino se entrelaza con una hechicera y una princesa con poderes, en un mundo lleno de magia y peligros."""
2;The big bang theory;2007;"""Dos amigos expertos en física tienen dificultades para navegar en el mundo real. Esta exitosa serie combina ciencia y comedia de una manera única."""
3;The office;2005;"""""The Office"" es una comedia que sigue las vidas y las locuras de los empleados de Dunder Mifflin, una empresa de papel en Scranton, liderados por su peculiar jefe, Michael Scott."""
4;The end of the f***ing world;2017;"""The End of the F***ing World"" sigue a James, un joven psicópata, y Alyssa, una chica rebelde, en un viaje lleno de peligros y autodescubrimiento. La serie combina humor oscuro y romance mientras exploran sus propios demonios internos y el mundo que los rodea."""
5;breaking bad;2008;"""Breaking Bad"" sigue a un profesor de química, Walter White, y su exalumno, Jesse Pinkman, mientras se adentran en el mundo del narcotráfico. La serie explora la transformación de Walter de un hombre común a un temido capo de la droga."""
6;Bakki Hanma;2021;"""Sigue la historia de Baki Hanma, un joven luchador de artes marciales que busca superar a su padre, Yujiro Hanma, el hombre más fuerte del mundo. La serie está llena de combates intensos y personajes con habilidades extraordinarias."""
7;Ragnarok;2020;"""	En un pequeño pueblo noruego, los eventos mitológicos comienzan a suceder de nuevo cuando un grupo de adolescentes descubre que tienen poderes que los conectan con los dioses nórdicos. La serie explora temas de ecología, poder y destino."""
8;Mi nombre;2021;"""Tras el asesinato de su padre, una joven se une a un grupo criminal y se infiltra en la policía bajo una nueva identidad para descubrir la verdad y vengarse. La serie está llena de acción y giros inesperados."""
9;Paradise PD;2018;"""Esta serie animada sigue las desventuras de un incompetente departamento de policía en una pequeña ciudad. Con un humor irreverente y situaciones absurdas, ""Paradise PD"" ofrece risas garantizadas."""
10;La Ley de los Audaces;2011;"""La serie sigue a Harvey Specter, uno de los mejores abogados de Nueva York, y su asociado Mike Ross, un genio sin título de abogado. Juntos deben mantener en secreto la falta de título de Mike mientras manejan casos legales complejos y sus vidas personales."""
